country_economy,level,policyType,keyPolicyMeasuresAndTargets,year,category,source,policyStage
Switzerland,National,Target,"4% of new vehicles to be BEV and PHEV by 2030, 28% BEV by 2050. FCEVs to make up 8% of sales by 2025, 19% by 2050.",2020.0,M/HDV,Swiss Federal Government,ZEV Mandates
Thailand,National,Ambition,"30% of total vehicle production (two/three-wheelers, LDVs and urban buses) to be EVs by 2030.",2020.0,Manufacturing,Government of Thailand,ICE Bans
Tonga,National,Target,10% of new LDVs to be electric by 2030.,2020.0,LDV,Government of Tonga,ZEV Mandates
United Arab Emirates,Subnational,Proposal,Increased procurement targets of EVs and HEVs at government organisations to 20% in 2025 and 30% in 2030.,2020.0,Multiple,Government of Dubai,Unclear / Needs Review
United Arab Emirates,Subnational,Ambition,EV Green Charger Initiative: Installing charging infrastructure across Dubai (no known specific targets).,2020.0,EVSE,Government of Dubai,Infrastructure Spending
United States,Subnational,Ambition,"Multistate MoU with a target of 30% ZEV sales for all new commercial M/HDV by 2030 and 100% by 2050 in 15 states (California, Colorado, Connecticut, Hawaii, Maine, Maryland, Massachusetts, New Jersey, New York, North Carolina, Oregon, Pennsylvania, Rhode Island, Vermont and Washington) and the District of Columbia.",2020.0,"M/HDV, Bus",Multi-State Zero Emission Medium- and Heavy-Duty Vehicle Initiative,ZEV Mandates
United States,Subnational,Legislation,100% of off-road vehicles and equipment will be zero-emission by 2035.,2020.0,Multiple,State of California,ZEV Mandates
United States,Subnational,Legislation,Advanced Clean Trucks Rules require 40 - 75% of sales by manufacturers (varied by vehicle class and weight) to be ZEV by 2035 (increasing targets from 2024).,2020.0,M/HDV,California Air Resources Board,ZEV Mandates
United States,Subnational,Legislation,100% share of ZEVs in passenger LDV sales by 2035.,2020.0,LDV,State of Massachusetts,ZEV Mandates
United States,Subnational,Ambition,"30% of all sales of M/HDVs be zero emission by 2030, 100% by 2050 (California, Colorado, Connecticut, Washington D.C, Hawaii, Maine, Maryland, Massachusetts, New Jersey, New York, Carolina, Oregon, Pennsylvania, Rhode Island, Vermont, Washington, Virginia, Nevada).",2020.0,M/HDV,NESCAUM,ZEV Mandates
United States,Subnational,Legislation,85% EV share of LDV sales by 2040.,2020.0,LDV,New Jersey State Senate,ZEV Mandates
United States,Subnational,Legislation,"Subsidy in the form of a voucher towards the cost of a zero emission bus, depending on vehicle class and location.",2020.0,Bus,New York State,EV Grants
United States,Subnational,Legislation,"Subsidy in the form of a voucher towards the cost of a zero emission truck, or port cargo handling equipment.",2020.0,M/HDV,New York State,EV Grants
Canada,Subnational,Legislation,Additional provincial level rebates which can be combined with federal rebates.,2021.0,M/HDV,Government of British Columbia,EV Grants
Canada,Subnational,Ambition,10 000 public EV charging stations by 2030.,2021.0,EVSE,Government of British Columbia,Infrastructure Spending
Canada,Subnational,Legislation,"Rebate towards the purchase of a BEV or PHEV with more than 50km range; lower amount for a PHEV with less than 50km range and for used vehicles, can be combined with federal incentives.",2021.0,LDV,Government of New Brunswick,EV Grants
Canada,Subnational,Legislation,"Rebate towards the purchase or lease of a BEV, lower amount for a PHEV, which can be combined with federal incentives.",2021.0,LDV,Government of Newfoundland and Labrador,EV Grants
Algeria,National,Legislation,Ban on imports more than 3 years old.,2021.0,Multiple,Government of Algeria,ICE Bans
Angola,National,Legislation,50% reduction of both import duty and vehicle tax for EVs.,2022.0,"Multiple, Taxation",Government of Angola,Unclear / Needs Review
Argentina,National,Ambition,"National Sustainable Transportation plan promotes electromobility and EV manufacturing, among other things.",2022.0,"Multiple, Manufacturing",Government of Argentina,Unclear / Needs Review
Armenia,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Aruba,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Australia,Multi-national,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Australia also specifically aims for 75% of new government passenger vehicles to be low emission by 2025.",2022.0,"LDV, M/HDV",Zero Emissions Government Fleet Declaration,ZEV Mandates
Australia,National,Legislation,Future Fuels Fund for the deployment of EV charging and hydrogen refuelling.,2022.0,EVSE,Government of Australia,Unclear / Needs Review
Australia,National,Legislation,Funding for commercial fleet ZEVs purchase.,2022.0,M/HDV,Government of Australia,ZEV Mandates
Australia,National,Legislation,"The Critical Mineral's Strategy aims to grow the sector in Australia and is supported by the Critical minerals facility via project loans, loan guarantees, bonds and working capital support as a complement to commercial financing.",2022.0,Manufacturing,Government of Australia,Early EV R&D
Austria,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Azerbaijan,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Bangladesh,National,Target,30% of new registrations to be electric by 2030.,2022.0,Multiple,Government of Bangladesh,ZEV Mandates
Belgium,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
China,National,Ambition,"Proportion of new energy and clean energy-powered transport to reach around 40% by 2030, and CO2 emissions intensity of new passenger cars and commercial vehicles to fall by more than 25% and 20% respectively compared to 2020 (Plan for Carbon Peaking in the Industry Sector).",2022.0,Multiple,"China, Ministry of Industry and Information Technology, National Development and Reform Commission, Ministry of Ecology and Environment",ZEV Mandates
China,National,Ambition,NEV sales in key air pollution control regions to account for about 50% of new vehicle sales by 2030 (Synergetic Reduction of Pollution and Carbon Emission).,2022.0,LDV,"China, Ministry of Ecology and Environment",ZEV Mandates
China,Subnational,Ambition,Aims for road transport oil consumption to peak before 2030 (Plan for Carbon Peaking for the Industry Sector).,2022.0,Multiple,Anhui Provincial Government,Unclear / Needs Review
China,Subnational,Target,2 million NEVs on the road by 2025. Proportion of new vehicle sales being new energy and clean energy-powered transport to reach around 40% by 2030 (Plan for Carbon Peaking).,2022.0,LDV,Beijing Municipal Government,ZEV Mandates
China,Subnational,Target,Build more than 240 000 EV chargers by 2025.,2022.0,EVSE,Chongqing Municipal People's Government,Direct Subsidies
China,Subnational,Ambition,Sell and produce more than 10% of the country's intelligent NEVs by 2025.,2022.0,Manufacturing,Chongqing Municipal People's Government,Unclear / Needs Review
China,Subnational,Legislation,Grants provided per kW of charging installed with greater amounts for DC than for AC; varies between regions of the province.,2022.0,EVSE,Guangdong Bureau of Energy,EV Grants
China,Subnational,Target,Proportion of new energy and clean energy-powered operating vehicles and ships to reach around 40% by 2030 (Plan for Carbon Peaking).,2022.0,Multiple,Guizhou Provincial Government,ZEV Mandates
China,Subnational,Target,End sales of petrol or diesel vehicles by 2030; 100% NEVs in vehicle sales (Plan for Carbon Peaking).,2022.0,"LDV, M/HDV",Hainan Provincial Government,ICE Bans
China,Subnational,Legislation,"Subsidies provided per kW of charging installed, with greater amounts for those installed along highways; varies between regions of the province.",2022.0,EVSE,Hunan Provincial Government,Unclear / Needs Review
China,Subnational,Target,Proportion of transport not powered by fossil energy to reach around 40% by 2030 (Plan for Carbon Peaking).,2022.0,Multiple,Hunan Provincial Government,ZEV Mandates
China,Subnational,Target,Inner Mongolia Autonomous Region aims for the proportion of new energy and clean energy-powered transport vehicles (excluding motorbikes) to reach around 40% by 2030 (Plan for Carbon Peaking).,2022.0,LDV,Inner Mongolia Autonomous Region Government,ZEV Mandates
China,Subnational,Target,NEV sales to account for more than 20% of total new car sales by 2025 (Plan for Carbon Peaking).,2022.0,LDV,Jiangsu Provincial Government,Unclear / Needs Review
China,Subnational,Target,Proportion of new energy and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,2022.0,LDV,Jilin Provincial Government,ZEV Mandates
China,Subnational,Target,"Production capacity of NEVs to reach around 1 million by 2025, accounting for 20% of all cars.",2022.0,Manufacturing,Jilin Provincial Government,Unclear / Needs Review
China,Subnational,Target,Proportion of new energy- and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,2022.0,LDV,Liaoning Provincial Government,ZEV Mandates
China,Subnational,Target,"NEV sales to account for around 20% of total new car sales by 2025, new energy and clean energy-powered vehicle sales to reach around 40% by 2030 (Plan for Carbon Peaking).",2022.0,LDV,Ningxia Hui Autonomous Region Government,ZEV Mandates
China,Subnational,Ambition,Aims for road transport oil consumption to peak before 2030 (Plan for Carbon Peaking).,2022.0,Multiple,Shandong Provincial Government,Unclear / Needs Review
China,Subnational,Legislation,"Subsidies for charging point and battery swapping installations with varying rates for community or commercial projects, as well as subsidised charging for taxis.",2022.0,EVSE,Shanghai Municipal Government,Unclear / Needs Review
China,Subnational,Target,BEVs to make up more than 50% of new personal vehicle purchases by 2025 and more than 40% of car stock by 2035 (Plan for Carbon Peaking).,2022.0,LDV,Shanghai Municipal Government,Unclear / Needs Review
China,Subnational,Target,Implementation Plan for Energy Saving and Emissions Reduction Integrated Tasks for the 14th Five Year Plan Period in Shanghai: BEVs to make up more than 50% of new personal vehicle purchases by 2025.,2022.0,LDV,Shanghai Municipal Government,Unclear / Needs Review
China,Subnational,Target,Proportion of NEVs among newly registered vehicles (excluding replacement and renewal) in Shenzhen to reach 60% by 2025. The number of NEVs will reach about 1 million.,2022.0,Multiple,Shenzhen Municipal Government,Unclear / Needs Review
China,Subnational,Target,Construct a total of about 43 000 fast charging piles in the public and private networks and about 790 000 slow charging piles in the basic network by 2025.,2022.0,EVSE,Shenzhen Municipal Government,Direct Subsidies
China,Subnational,Target,Proportion of new energy- and clean energy-powered transport (not including motorcycles) to reach around 40% by 2030 (Plan for Carbon Peaking).,2022.0,"LDV, M/HDV",Sichuan Provincial Government,ZEV Mandates
China,Subnational,Target,NEV sales to account for around 25% of total new car sales by 2025 and around 50% of total new car sales by 2030 (Plan for Carbon Peaking).,2022.0,LDV,Tianjin Municipal People's Government,ZEV Mandates
China,Subnational,Target,"80% of public transport, taxis, logistics and delivery vehicle sales to be NEVs by 2025.",2022.0,Multiple,Tianjin Municipal People's Government,Infrastructure Spending
Chinese Taipei,,Ambition,"EVs to make up 30% of private passenger car sales by 2030, 60% by 2035, and 100% by 2040.",2022.0,LDV,Government of Chinese Taipei,ZEV Mandates
Chinese Taipei,,Ambition,35% of the urban bus fleet to be electric by 2025; 100% by 2030.,2022.0,Bus,Government of Chinese Taipei,ICE Bans
Chinese Taipei,,Ambition,All new passenger cars and 2/3W to be zero-emission by 2040,2022.0,"LDV, 2/3W","National Development Council, Chinese Taipei",ZEV Mandates
Chinese Taipei,,Ambition,"EVs to make up 35% of scoooter sales by 2030, 70% by 2035, and 100% by 2040.",2022.0,2/3W,Government of Chinese Taipei,ZEV Mandates
Croatia,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Croatia,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Curaçao,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Cyprus,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Denmark,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Denmark,National,Legislation,Road tax for trucks will be based on CO2 emissions from 2025.,2022.0,"M/HDV, Taxation",Government of Denmark,Carbon Tax
Dominican Republic,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Dominican Republic,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
El Salvador,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Ethiopia,National,Legislation,"EVs are not subject to import duties if locally assembled, reduced rates apply for partially and fully assembled imports. They are also exempt from VAT, surtax, and excise tax.",2022.0,Taxation,Government of Ethiopia,Unclear / Needs Review
European Union,Supranational,Proposal,"Critical Raw Materials Act aims to reduce dependency on external suppliers of critical raw materials, including those needed to manufacture batteries.",2022.0,Manufacturing,European Commission,Unclear / Needs Review
European Union,Supranational,Legislation,"CO2 emission standards: 15% CO2 emission reduction for both new cars and vans by 2025 compared to 2021 levels, 55% for cars and 50% for vans reduction by 2030, 100% reduction by 2035.",2022.0,LDV,European Commission,Net-Zero Regulations
Finland,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Finland,National,Legislation,"Zero emission cars pay 0% import tax, and the lowest annual basic vehicle tax with additional vehicle tax based on vehicle weight and a fuel multiplier.",2022.0,"LDV, Taxation",Government of Finland,ZEV Mandates
Finland,National,Legislation,Funding support for alternative fuel infrastructure including charging stations.,2022.0,EVSE,Government of Finland,Infrastructure Spending
Finland,National,Legislation,Grants for EV cars ended in 2022; grants for electric LCVs have been extended to the end of 2024.,2022.0,LDV,Government of Finland,EV Grants
Canada,Subnational,Legislation,"Rebate towards the purchase or lease of a BEV or a PHEV, which can be combined with federal incentives.",,LDV,Government of Nova Scotia,EV Grants
Canada,Subnational,Legislation,Incentives towards the purchase or lease of a BEV or PHEV and voucher towards the cost of a charger installation.,,"LDV, EVSE",Government of Prince Edward Island,EV Grants
Argentina,Subnational,Target,"30% low-emission cars in circulation by 2030, 100% by 2050.",2020.0,LDV,Government of the City of Buenos Aires,ZEV Mandates
Argentina,Subnational,Target,"50% ZEV buses by 2030, 100% by 2050.",2020.0,Bus,Government of the City of Buenos Aires,ZEV Mandates
Antigua and Barbuda,National,Target,Transition the government fleet to all-electric by 2035.,2021.0,Multiple,Government of Antigua and Barbuda,Direct Subsidies
Argentina,National,Proposal,Ban on sale of new ICE vehicles from 2041.,2021.0,Multiple,Government of Argentina,ICE Bans
Argentina,National,Ambition,2 500 jobs in battery manufacturing by 2030.,2021.0,Manufacturing,Government of Argentina,ZEV Mandates
Australia,Subnational,Ambition,All new public buses to be ZEV by 2025.,2021.0,Bus,Victoria State Government,ZEV Mandates
Australia,Subnational,Ambition,50% of LDV fleet to be ZEV by 2030.,2021.0,LDV,Victoria State Government,ZEV Mandates
Austria,National,Ambition,Necessary infrastructure for all types of ZEV road transport to be in place by no later than 2035.,2021.0,EVSE,Government of Austria,ZEV Mandates
Austria,National,Legislation,"Grants available for the installation of domestic, public and commercial charging infrastructure.",2021.0,EVSE,Government of Austria,EV Grants
Austria,National,Ambition,100% share of ZEVs in new heavy goods vehicle sales (under 18 tonnes) by 2030.,2021.0,M/HDV,Government of Austria,ZEV Mandates
Austria,National,Ambition,100% share of ZEVs in new heavy goods vehicle sales (above 18 tonnes) by 2035.,2021.0,M/HDV,Government of Austria,ZEV Mandates
Austria,National,Ambition,"100% share of ZEVs in new car, light commercial, and two-wheeler sales by 2030.",2021.0,LDV,Government of Austria,ZEV Mandates
Austria,National,Ambition,100% share of ZEVs in new bus sales by 2032.,2021.0,Bus,Government of Austria,ZEV Mandates
Austria,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Bangladesh,National,Legislation,"10 year tax holiday for local EV manufacturing and assembly, various incentives.",2021.0,"Manufacturing, Taxation",Government of Bangladesh,Unclear / Needs Review
Belgium,Subnational,Legislation,"Tax relief equal to 45%, 30%, and 15% of the value of installation of a private charger applies in 2022, 2023, and 2024 respectively. Businesses installing chargers that are also publicly accessible are eligible for tax relief equal to 200% of the value of the installation in 2022, reducing to 150% in 2023 and 2024.",2021.0,"EVSE, Taxation",Government of Flanders,Tax Credits
Chile,National,Target,100% of sales of public transport vehicles will be zero-emissions by 2035.,2021.0,Bus,Government of Chile,Infrastructure Spending
Chile,National,Target,100% of sales of M/HDVs will be zero-emissions by 2045.,2021.0,M/HDV,Government of Chile,ZEV Mandates
Chile,National,Legislation,"Energy efficiency law which promotes the importation of BEVs and PHEVs. Entered into force in 2024, requiring fleet average efficiency of 5.3Lge/100km for the period 2024-26.",2021.0,Multiple,Government of Chile,Direct Subsidies
Chile,National,Legislation,"Accelerated tax depreciation of electric, hybrid, and zero emissions vehicles.",2021.0,Taxation,Government of Chile,ZEV Mandates
Chile,National,Target,"100% of sales of heavy mobile machinery will be zero-emissions by 2035, 100% of sales of all mobile machinery (heavy and light) by 2040.",2021.0,M/HDV,Government of Chile,ZEV Mandates
Chile,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
China,National,Ambition,China's Action Plan for Reaching Carbon Dioxide Peak Before 2030: Proportion of new energy and clean energy-powered vehicle sales (for transport) to reach around 40% by 2030.,2021.0,Multiple,"China, State Council",ZEV Mandates
China,Subnational,Target,"From 2021, 80% of taxis and delivery vehicles should be NEVs.",2021.0,LDV,Guangdong Provincial Government,Unclear / Needs Review
China,Subnational,Target,"From 2021, 100% of new buses should be NEVs.",2021.0,Bus,Guangdong Provincial Government,ZEV Mandates
China,Subnational,Target,"800 000 NEV stock for passenger LDVs by 2025, accounting for 20% of all car stocks by 2025. NEVs account for 50% of car sales.",2021.0,LDV,Guangzhou Municipal Government,Direct Subsidies
Bolivia,National,Legislation,"Tax incentives and financial incentives for the manufacturing, assembly, import, and purchase of EVs.",2021.0,"Manufacturing, Taxation",Government of Bolivia,Unclear / Needs Review
Brazil,National,Proposal,Deputies Bill No. 2156/2021 that aims to provide guidelines for the National Electric Mobility Policy.,2021.0,Multiple,Government of Brazil,Unclear / Needs Review
Cambodia,National,Ambition,40% of cars and urban buses to be EVs by 2050.,2021.0,"LDV, Bus",Government of Cambodia,ICE Bans
China,Subnational,Target,Annual production of 600 000 NEVs by 2025.,2021.0,Manufacturing,Zhejiang Provincial Government,Direct Subsidies
Cuba,National,Ambition,"45% of the total vehicle fleet in the country's state sector to be electric, and 38 000 charging points to be installed by 2030.",2021.0,"Multiple, EVSE",Government of Cuba,ZEV Mandates
Denmark,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Ecuador,National,Legislation,"Low and zero emission vehicles are exempt from VAT. They are also exempt of import taxes, along with charging equipment.",2021.0,Taxation,Government of Ecuador,ZEV Mandates
El Salvador,National,Target,Scenarios include 7-20% EV sales penetration in 2030.,2021.0,Multiple,Government of El Salvador,Unclear / Needs Review
Finland,National,Legislation,Grant towards the purchase of an EV truck.,2021.0,M/HDV,Government of Finland,EV Grants
Finland,National,Ambition,700 000 electric car and 45 000 electric van stock by 2030 (of which at least 50% are BEVs).,2021.0,LDV,Government of Finland,ZEV Mandates
Finland,National,Ambition,4 600 electric trucks by 2030.,2021.0,M/HDV,Government of Finland,ZEV Mandates
India,Subnational,Ambition,1 million EVs in stock across all segments by 2030.,2021.0,Multiple,Government of India,ZEV Mandates
India,Subnational,Target,100 000 public and semi-public charging stations by 2026.,2021.0,EVSE,Government of India,Infrastructure Spending
Indonesia,National,Ambition,2 million passenger EV stock and 13 million electric motorcycle stock by 2030.,2021.0,"LDV, 2/3W",Government of Indonesia,ZEV Mandates
Indonesia,National,Ambition,Number of charging stations to reach 30 000 units and battery swap stations to reach 67 000 units by 2030.,2021.0,EVSE,Government of Indonesia,Infrastructure Spending
Ireland,National,Legislation,"Grants equal to 40-60% of the price difference between the diesel equivalent and the BEV, PHEV, or FCEV model available for the purchase of HDVs.",2021.0,M/HDV,Government of Ireland,EV Grants
Israel,National,Target,"National Action Plan on Climate Change: Target to reduce average emissions from new LDVs by 95% by 2030 relative to 2020, and by 100% in 2050.",2021.0,LDV,Government of Israel,ZEV Mandates
Israel,National,Target,National Action Plan on Climate Change: Increase stock share of zero-emission urban buses to 50% by 2036 and 100% by 2050.,2021.0,Bus,Government of Israel,ICE Bans
Japan,National,Ambition,Aiming for an advanced introduction of 5 000 electrified M/HDVs in the 2020s.,2021.0,M/HDV,Government of Japan,Direct Subsidies
Japan,National,Ambition,"100% of car sales to be BEV, PHEV, HEV, or FCEV by 2035, 20-30% of LCV sales by 2030, and electrified vehicles and decarbonised fuel vehicles to account for 100% of sales by 2040 (Green Growth Strategy).",2021.0,LDV,Government of Japan,ZEV Mandates
Korea,National,Target,"Install 500 000 electric chargers by 2025 in homes and workplaces, and 17 000 along highways.",2021.0,EVSE,Government of Korea,Direct Subsidies
Korea,National,Target,"50% of new sales to be BEV, HEV, PHEV, FCEVs by 2025, and 83% by 2030. 80% of Government operated vehicles to be eco-friendly in 2021, reaching 100% in 2023.",2021.0,LDV,Government of Korea,ZEV Mandates
Korea,National,Target,"3.62 million passenger BEV and 880 000 passenger FCEV stock by 2030 (and 4 million PHEV+HEV), building upon previous target of 1.13 million passenger BEV stock by 2025 (plus 200 000 passenger FCEV).",2021.0,LDV,Government of Korea,ZEV Mandates
Korea,National,Target,"A 2022 manufacturers sales mandate, as a share of annual sales, of 20% for low emission vehicles, and 12% for ZEVs.",2021.0,Manufacturing,Government of Korea,ZEV Mandates
Laos,National,Target,EVs to make up 30% of vehicle stock by 2030.,2021.0,Multiple,Government of Laos,ZEV Mandates
Latvia,National,Legislation,"Grants towards the purchase of a new BEV, with a lower amount for PHEVs and used BEVs.",2021.0,LDV,Government of Latvia,EV Grants
Lithuania,National,Legislation,"Grants towards the purchase of a new BEV, lower amounts for used BEV, as well as higher rates available for LCVs, with scrappage bonuses available.",2021.0,LDV,Government of Lithuania,EV Grants
Luxembourg,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Malaysia,National,Target,"Low Carbon Mobility Blueprint includes measures to increase EV adoption, including targets for government and government-led company fleets, incentives for private and commercial EVs, establishment of an e-bus procurement agency, and various manufacturing incentives.",2021.0,Multiple,Government of Malaysia,Direct Subsidies
Malaysia,National,Target,"Low Carbon Mobility Blueprint includes plans to establish a progressively reducing emissions target for new LDVs, exhaust emissions regulations, and other measures to improve vehicle efficiency.",2021.0,Multiple,Government of Malaysia,Unclear / Needs Review
China,National,Ambition,"11 pilot cities to demonstrate battery swapping technology, ultimately aiming to promote more than 100 000 battery swapping-enabled EVs, and more than 1 000 battery swapping stations in the demonstration period.",2021.0,EVSE,China's Ministry of Industry and Information Technology,Early EV R&D
China,National,Target,72% share of NEVs in national urban public transport stock and 20% in logistics distribution stock by 2025.,2021.0,"Bus, LDV","China, Ministry of Transport",ICE Bans
China,National,Legislation,"Updated Lithium-ion Battery Industry Regulatory Conditions and the Lithium-ion Battery Industry Regulatory Management Measures set out specific standards on battery, cathode material, anode material, separator and electrolyte.",2021.0,Manufacturing,"China, Ministry of Industry and Information Technology",Unclear / Needs Review
Chile,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
China,National,Ambition,"Installation of charging infrastructure for more than 20 million EVs by 2025, includes subsidised public stations, and encourages regional governments to establish standards and subsidies that promote quality of service.",2022.0,EVSE,China National Development and Reform Commission,Infrastructure Spending
Australia,Subnational,Ambition,"Transition the state's 8 000 buses to ZEVs, starting with Greater Sydney by 2035, Outer Metropolitan regions by 2040, and Regional New South Wales by 2047.",,Bus,New South Wales Government,ZEV Mandates
Belgium,Subnational,Legislation,"Progressively ban the use of older vehicles (Euro 1, 2, 3 ban delayed to 2025, Euro 4 in 2026, Euro 5 in 2028, Euro 6 in 2030), and allow for the introduction of more restrictive LEZs.",2022.0,Multiple,Government of Wallonia,ICE Bans
Belgium,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Bolivia,National,Ambition,Annual 10% growth in the share of EVs in the Bolivian public transportation fleet.,2022.0,Bus,Government of Bolivia,Infrastructure Spending
Brazil,National,Proposal,Senate Bill No. 403/2022 that aims to grant exemption from Import Tax for electric and hybrid vehicles.,2022.0,Taxation,Government of Brazil,EV Grants
Bulgaria,National,Ambition,Build 10 000 charging stations to facilitate at least 30 000 EVs by 2026.,2022.0,EVSE,Government of Bulgaria,Infrastructure Spending
Cabo Verde,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Finland,National,Proposal,"Reform of benefit-in-kind taxation to favour low-emissions vehicles, and vehicle charging benefits will no longer be taxable.",,"LDV, Taxation",Government of Finland,Unclear / Needs Review
Finland,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
France,National,Legislation,"Implementation of LEZs in metropolitan agglomerations of more than 150 000 inhabitants by 31 December 2024, and provision for interest-free EV purchase loans to low-income households living in these zones.",2021.0,Multiple,Government of France,Direct Subsidies
France,National,Ambition,Produce 2 million electric and hybrid cars domestically by 2030.,2021.0,LDV,Government of France,ZEV Mandates
France,National,Legislation,Express deduction of 20-60% of the investment cost in alternatively fuelled trucks depending on vehicle size.,2021.0,"M/HDV, Taxation",Government of France,Tax Credits
France,National,Legislation,No new sales of new HDVs assigned to the transport of people or goods and using mainly fossil fuels by 2040.,2021.0,M/HDV,Government of France,ZEV Mandates
France,National,Legislation,End sale of new passenger cars emitting more than 123 g CO2/km by 2030.,2021.0,LDV,Government of France,ICE Bans
Germany,National,Target,Nationwide plan for a comprehensive charging network including 9 000 fast chargers at 1 000 locations.,2021.0,EVSE,Government of Germany,Direct Subsidies
Germany,National,Legislation,"Tax incentives for commercial EVs, company cars, and company-facilitated EV charging.",,Taxation,Government of Germany,Unclear / Needs Review
India,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2021.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
India,National,Legislation,Production Linked Incentive (PLI) Scheme for EV and EV component manufacturing.,2021.0,Manufacturing,"India, Department of Heavy Industries",Unclear / Needs Review
India,National,Legislation,Production Linked Incentive (PLI) Scheme for Advanced Cell Chemistry manufacturing in India.,2021.0,Manufacturing,"India, Department of Heavy Industries",Unclear / Needs Review
India,National,Legislation,"Passenger vehicles older than 20 years and commercial vehicles older than 15 years must pass a “fitness and emissions test” to retain their registration; incentives to scrap old vehicles, including discounts on the purchase of new vehicles against a scrappage certificate.",2021.0,LDV,Government of India,Unclear / Needs Review
India,Subnational,Target,25 000 electric 4Ws in stock by 2026.,2021.0,LDV,"Government of Assam, India",Direct Subsidies
India,Subnational,Target,100% of government vehicles to be converted to EVs by 2030.,2021.0,Multiple,"Government of Assam, India",ZEV Mandates
India,Subnational,Target,BEVs to make up 25% of all vehicle registrations by 2026.,2021.0,Multiple,"Government of Assam, India",Unclear / Needs Review
