region,category,parameter,mode,powertrain,year,unit,value
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",20000
USA,Projection-STEPS,EV sales,Cars,BEV,2025,Vehicles,2500000
USA,Projection-STEPS,EV sales,Cars,FCEV,2025,Vehicles,3800
USA,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,560000
USA,Projection-STEPS,EV stock,Cars,BEV,2025,Vehicles,7500000
USA,Projection-STEPS,EV stock,Cars,FCEV,2025,Vehicles,22000
USA,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,2200000
USA,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,7200000
USA,Projection-STEPS,EV sales,Cars,FCEV,2030,Vehicles,8700
USA,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,1600000
USA,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,34000000
USA,Projection-STEPS,EV stock,Cars,FCEV,2030,Vehicles,54000
USA,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,8300000
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,1.399999976158142
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",79000
USA,Projection-STEPS,Electricity demand,Cars,EV,2030,GWh,230000
USA,Projection-STEPS,EV stock share,Cars,EV,2030,percent,17
USA,Projection-STEPS,EV sales share,Cars,EV,2030,percent,55
USA,Projection-STEPS,EV sales share,Cars,EV,2035,percent,71
USA,Projection-STEPS,EV stock share,Cars,EV,2035,percent,36
USA,Projection-STEPS,Electricity demand,Cars,EV,2035,GWh,460000
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,2.5
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2035,"Oil displacement, million lge",140000
USA,Projection-STEPS,EV sales,Cars,BEV,2035,Vehicles,9300000
USA,Projection-STEPS,EV sales,Cars,FCEV,2035,Vehicles,21000
USA,Projection-STEPS,EV sales,Cars,PHEV,2035,Vehicles,1900000
USA,Projection-STEPS,EV stock,Cars,BEV,2035,Vehicles,74000000
USA,Projection-STEPS,EV stock,Cars,FCEV,2035,Vehicles,120000
USA,Projection-STEPS,EV stock,Cars,PHEV,2035,Vehicles,17000000
World,Projection-STEPS,EV stock,Cars,BEV,2020,Vehicles,6800000
World,Projection-STEPS,EV sales,Cars,FCEV,2020,Vehicles,7400
World,Projection-STEPS,EV stock,Cars,FCEV,2020,Vehicles,26000
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.14000000059604645
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",8000
World,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,980000
World,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,3400000
World,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,21000
World,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,2000000
World,Projection-STEPS,EV sales share,Cars,EV,2020,percent,4.199999809265137
World,Projection-STEPS,EV stock share,Cars,EV,2020,percent,0.8399999737739563
World,Projection-STEPS,EV stock share,Cars,EV,2021,percent,1.2999999523162842
World,Projection-STEPS,EV sales share,Cars,EV,2021,percent,8.899999618530273
World,Projection-STEPS,EV sales,Cars,BEV,2021,Vehicles,4700000
World,Projection-STEPS,Electricity demand,Cars,EV,2021,GWh,35000
World,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,5300000
World,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,1900000
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.25
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",14000
World,Projection-STEPS,EV stock,Cars,FCEV,2021,Vehicles,42000
World,Projection-STEPS,EV sales,Cars,FCEV,2021,Vehicles,16000
World,Projection-STEPS,EV stock,Cars,BEV,2021,Vehicles,11000000
World,Projection-STEPS,EV stock,Cars,BEV,2022,Vehicles,18000000
World,Projection-STEPS,EV sales,Cars,FCEV,2022,Vehicles,15000
World,Projection-STEPS,EV stock,Cars,FCEV,2022,Vehicles,57000
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.4000000059604645
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",24000
World,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,2900000
World,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,8000000
World,Projection-STEPS,Electricity demand,Cars,EV,2022,GWh,44000
World,Projection-STEPS,EV sales,Cars,BEV,2022,Vehicles,7300000
World,Projection-STEPS,EV sales share,Cars,EV,2022,percent,14
World,Projection-STEPS,EV stock share,Cars,EV,2022,percent,2.0999999046325684
World,Projection-STEPS,EV stock share,Cars,EV,2023,percent,3.200000047683716
World,Projection-STEPS,EV sales share,Cars,EV,2023,percent,18
World,Projection-STEPS,EV sales,Cars,BEV,2023,Vehicles,9500000
World,Projection-STEPS,EV stock,Cars,PHEV,2023,Vehicles,12000000
World,Projection-STEPS,EV sales,Cars,PHEV,2023,Vehicles,4300000
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.7099999785423279
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",42000
World,Projection-STEPS,EV stock,Cars,FCEV,2023,Vehicles,66000
World,Projection-STEPS,EV sales,Cars,FCEV,2023,Vehicles,8900
World,Projection-STEPS,EV stock,Cars,BEV,2023,Vehicles,28000000
World,Projection-STEPS,Electricity demand,Cars,EV,2023,GWh,97000
World,Projection-STEPS,Electricity demand,Cars,EV,2025,GWh,220000
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,1.399999976158142
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",82000
World,Projection-STEPS,EV sales share,Cars,EV,2025,percent,25
World,Projection-STEPS,EV stock share,Cars,EV,2025,percent,6
World,Projection-STEPS,EV sales,Cars,BEV,2025,Vehicles,15000000
World,Projection-STEPS,EV sales,Cars,FCEV,2025,Vehicles,42000
World,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,5800000
World,Projection-STEPS,EV stock,Cars,BEV,2025,Vehicles,55000000
World,Projection-STEPS,EV stock,Cars,FCEV,2025,Vehicles,100000
World,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,23000000
World,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,33000000
World,Projection-STEPS,EV sales,Cars,FCEV,2030,Vehicles,96000
World,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,7700000
World,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,180000000
World,Projection-STEPS,EV stock,Cars,FCEV,2030,Vehicles,450000
World,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,56000000
World,Projection-STEPS,EV stock share,Cars,EV,2030,percent,16
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,4.199999809265137
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",240000
World,Projection-STEPS,EV sales share,Cars,EV,2030,percent,44
World,Projection-STEPS,Electricity demand,Cars,EV,2030,GWh,710000
World,Projection-STEPS,Electricity demand,Cars,EV,2035,GWh,1400000
World,Projection-STEPS,EV sales share,Cars,EV,2035,percent,55
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,7.800000190734863
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2035,"Oil displacement, million lge",450000
World,Projection-STEPS,EV stock share,Cars,EV,2035,percent,31
World,Projection-STEPS,EV sales,Cars,BEV,2035,Vehicles,51000000
World,Projection-STEPS,EV sales,Cars,FCEV,2035,Vehicles,200000
World,Projection-STEPS,EV sales,Cars,PHEV,2035,Vehicles,5500000
World,Projection-STEPS,EV stock,Cars,BEV,2035,Vehicles,390000000
World,Projection-STEPS,EV stock,Cars,FCEV,2035,Vehicles,1200000
World,Projection-STEPS,EV stock,Cars,PHEV,2035,Vehicles,89000000
